Customer Age,Customer Gender,Product Purchased,Ticket Priority,Ticket Status,Ticket Type,Customer Satisfaction Rating,Customer Gender Encoded,Product Purchased Encoded,Ticket Priority Encoded,Ticket Status Encoded,Ticket Type Encoded
32,Other,GoPro Hero,Critical,Pending Customer Response,Technical issue,2,2,16,0,2,4
42,Female,LG Smart TV,Critical,Pending Customer Response,Technical issue,2,0,21,0,2,4
48,Other,Dell XPS,Low,Closed,Technical issue,1,2,10,2,0,4
27,Female,Microsoft Office,Low,Closed,Billing inquiry,1,0,25,2,0,0
67,Female,Autodesk AutoCAD,Low,Closed,Billing inquiry,0,0,5,2,0,0
53,Male,Microsoft Office,Low,Open,Cancellation request,2,1,25,2,1,1
24,Other,Microsoft Surface,Critical,Open,Product inquiry,2,2,26,0,1,2
23,Male,Philips Hue Lights,Critical,Open,Refund request,2,1,32,0,1,3
60,Other,Fitbit Versa Smartwatch,Low,Pending Customer Response,Technical issue,2,2,13,2,2,4
27,Male,Dyson Vacuum Cleaner,Critical,Pending Customer Response,Refund request,2,1,11,0,2,3
48,Male,Nintendo Switch,High,Closed,Cancellation request,0,1,30,1,0,1
51,Male,Microsoft Xbox Controller,High,Closed,Product inquiry,0,1,27,1,0,2
27,Other,Nintendo Switch Pro Controller,Low,Pending Customer Response,Technical issue,2,2,31,2,2,4
65,Other,Nest Thermostat,Low,Pending Customer Response,Technical issue,2,2,28,2,2,4
48,Female,Sony PlayStation,High,Closed,Billing inquiry,2,0,38,1,0,0
18,Other,GoPro Action Camera,High,Pending Customer Response,Billing inquiry,2,2,15,1,2,0
63,Other,Xbox,Critical,Closed,Product inquiry,2,2,40,0,0,2
56,Female,Microsoft Xbox Controller,High,Pending Customer Response,Product inquiry,2,0,27,1,2,2
19,Male,LG Washing Machine,High,Open,Product inquiry,2,1,22,1,1,2
39,Female,Canon EOS,Low,Closed,Refund request,2,0,9,2,0,3
28,Other,HP Pavilion,High,Pending Customer Response,Refund request,2,2,19,1,2,3
66,Male,Fitbit Versa Smartwatch,Critical,Pending Customer Response,Cancellation request,2,1,13,0,2,1
54,Female,Xbox,Medium,Open,Cancellation request,2,0,40,3,1,1
63,Female,Nintendo Switch Pro Controller,Low,Pending Customer Response,Technical issue,2,0,31,2,2,4
19,Male,Amazon Kindle,Critical,Open,Product inquiry,2,1,2,0,1,2
35,Other,HP Pavilion,Medium,Pending Customer Response,Product inquiry,2,2,19,3,2,2
22,Other,Lenovo ThinkPad,Low,Pending Customer Response,Billing inquiry,2,2,23,2,2,0
21,Other,Fitbit Charge,High,Open,Cancellation request,2,2,12,1,1,1
30,Other,Fitbit Charge,Critical,Closed,Technical issue,2,2,12,0,0,4
67,Male,Xbox,Medium,Closed,Cancellation request,0,1,40,3,0,1
22,Other,Adobe Photoshop,Low,Open,Billing inquiry,2,2,0,2,1,0
